"S2SEQ2_MAJOR","F3SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.839080459770115
"ACCT","CIS",0.0114942528735632
"ACCT","E",0.0574712643678161
"ACCT","ENTR",0.0229885057471264
"ACCT","FIN",0.0229885057471264
"ACCT","MKTG",0.0229885057471264
"ACCT","PHDF",0.0114942528735632
"ACCT","SPAD",0.0114942528735632
"ACM","ACM",1
"ADV","ADV",0.5
"ADV","COMM",0.5
"AENG","AENG",1
"AERN","E",1
"AMTH","AMTH",1
"ARCH","ARCH",1
"ARTS","ARTS",1
"ATTR","ATTR",1
"BMGT","ACCT",0.00961538461538462
"BMGT","BMGT",0.788461538461538
"BMGT","BSCI",0.00961538461538462
"BMGT","CIS",0.0192307692307692
"BMGT","COMM",0.00961538461538462
"BMGT","E",0.115384615384615
"BMGT","FIN",0.0192307692307692
"BMGT","MKTG",0.0192307692307692
"BMGT","PHDF",0.00961538461538462
"BMRT","BMGT",1
"BSCI","ACCT",0.5
"BSCI","BSCI",0.5
"BUSU","E",1
"CIS","ACCT",0.0588235294117647
"CIS","CIS",0.705882352941176
"CIS","DS",0.0588235294117647
"CIS","E",0.176470588235294
"COMM","COMM",0.75
"COMM","E",0.25
"CRJU","CRJU",0.333333333333333
"CRJU","E",0.666666666666667
"CS","BMGT",0.142857142857143
"CS","CS",0.857142857142857
"E","ACCT",0.00854700854700855
"E","BMGT",0.0256410256410256
"E","BUSU",0.00854700854700855
"E","CRJU",0.00854700854700855
"E","E",0.905982905982906
"E","EHSG",0.00854700854700855
"E","FIN",0.00854700854700855
"E","MKTG",0.00854700854700855
"E","MMTG",0.0170940170940171
"ECB","ECB",1
"ECDE","ECDE",1
"ECON","E",0.0714285714285714
"ECON","ECON",0.928571428571429
"EDST","EDST",1
"ENG","INTL",1
"ENTR","ACCT",0.0454545454545455
"ENTR","ENTR",0.909090909090909
"ENTR","HSPM",0.0454545454545455
"EXPL","ECON",0.111111111111111
"EXPL","ENTR",0.222222222222222
"EXPL","EXPL",0.555555555555556
"EXPL","MKTG",0.111111111111111
"FIN","ACCT",0.0196078431372549
"FIN","E",0.0196078431372549
"FIN","FIN",0.941176470588235
"FIN","PHDF",0.0196078431372549
"FM","ACCT",0.5
"FM","FM",0.5
"GEOG","GEOG",1
"GEOL","E",1
"HSPM","HSPM",1
"ID","MKTG",1
"IHS","IHS",1
"IMTH","IMTH",1
"MATH","MATH",1
"MEDT","ECON",1
"MKTG","ACTT",0.027027027027027
"MKTG","BMGT",0.027027027027027
"MKTG","DS",0.027027027027027
"MKTG","E",0.108108108108108
"MKTG","ENTR",0.027027027027027
"MKTG","FIN",0.027027027027027
"MKTG","MKTG",0.702702702702703
"MKTG","PHDF",0.027027027027027
"MKTG","SPAD",0.027027027027027
"MMTG","ADV",0.024390243902439
"MMTG","BMGT",0.024390243902439
"MMTG","CIS",0.024390243902439
"MMTG","COMM",0.024390243902439
"MMTG","E",0.024390243902439
"MMTG","MKTG",0.0975609756097561
"MMTG","MMTG",0.780487804878049
"NEWS","ENTR",0.25
"NEWS","NEWS",0.25
"NEWS","POL",0.25
"NEWS","PR",0.25
"NUTR","NUTR",1
"OPMG","OPMG",1
"PBMT","BMGT",0.333333333333333
"PBMT","E",0.333333333333333
"PBMT","PBMT",0.333333333333333
"PEP","MKTG",0.5
"PEP","PEP",0.5
"PFDM","FM",1
"PFIN","E",0.25
"PFIN","PFIN",0.75
"PH","E",0.125
"PH","MKTG",0.125
"PH","PH",0.75
"PHDF","E",0.333333333333333
"PHDF","PHDF",0.666666666666667
"PHIL","PHIL",1
"PHOI","CRJU",1
"PNUR","E",1
"POL","BMGT",0.25
"POL","E",0.25
"POL","MKTG",0.25
"POL","POL",0.25
"PSYC","HSPM",0.5
"PSYC","PSYC",0.5
"SPA","E",1
"SPAD","E",0.25
"SPAD","FIN",0.25
"SPAD","SPAD",0.5
"SPED","SPED",1
"TECH","TECH",1
"VCD","MKTG",0.333333333333333
"VCD","VCD",0.666666666666667
