"F1SEQ2_MAJOR","S1SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.955555555555555
"ACCT","AENG",0.0111111111111111
"ACCT","AMTH",0.0111111111111111
"ACCT","BMGT",0.0111111111111111
"ACCT","E",0.0111111111111111
"ADV","ENTR",0.5
"ADV","NEWS",0.5
"AEDG","AEDG",0.666666666666667
"AEDG","TECH",0.333333333333333
"AENG","AENG",0.666666666666667
"AENG","BMGT",0.333333333333333
"AERN","ACCT",0.2
"AERN","AERN",0.6
"AERN","ENTR",0.2
"ARCH","ARCH",0.6
"ARCH","BMGT",0.2
"ARCH","FM",0.2
"ARCS","MMTG",1
"ATTR","ATTR",1
"BMGT","ARTS",0.00699300699300699
"BMGT","BMGT",0.825174825174825
"BMGT","CRJU",0.00699300699300699
"BMGT","CS",0.00699300699300699
"BMGT","E",0.0909090909090909
"BMGT","EXPL",0.00699300699300699
"BMGT","FIN",0.013986013986014
"BMGT","GEOG",0.00699300699300699
"BMGT","MKTG",0.013986013986014
"BMGT","MMTG",0.00699300699300699
"BMGT","PHDF",0.00699300699300699
"BMGT","POL",0.00699300699300699
"BSCI","BSCI",1
"BUSU","BUSU",0.5
"BUSU","PSYC",0.5
"CAG","CAG",1
"CHEM","BUSU",0.5
"CHEM","ECON",0.5
"CIS","CIS",0.941176470588235
"CIS","E",0.0588235294117647
"CRFT","CRFT",0.666666666666667
"CRFT","ENTR",0.333333333333333
"CRJU","CRJU",1
"CS","AENG",0.111111111111111
"CS","CS",0.888888888888889
"E","E",1
"ECON","E",0.125
"ECON","ECON",0.875
"EHSG","EHSG",1
"ELMD","ELMD",1
"ENTR","CRJU",0.05
"ENTR","E",0.1
"ENTR","ENTR",0.8
"ENTR","GEOG",0.05
"EXPL","ACCT",0.0384615384615385
"EXPL","ATTR",0.0192307692307692
"EXPL","BMGT",0.0192307692307692
"EXPL","E",0.0384615384615385
"EXPL","ENTR",0.0384615384615385
"EXPL","EXPL",0.692307692307692
"EXPL","FM",0.0192307692307692
"EXPL","MKTG",0.0192307692307692
"EXPL","MMTG",0.0192307692307692
"EXPL","PNUR",0.0192307692307692
"EXPL","PR",0.0192307692307692
"EXPL","SPAD",0.0384615384615385
"EXPL","VCD",0.0192307692307692
"EXSI","EXSI",0.5
"EXSI","SPAD",0.5
"FIN","ACM",0.0238095238095238
"FIN","E",0.0238095238095238
"FIN","FIN",0.928571428571429
"FIN","RPTM",0.0238095238095238
"FM","CS",0.2
"FM","ENG",0.2
"FM","FM",0.4
"FM","MMTG",0.2
"GER","GER",1
"HSPM","HSPM",1
"ID","ECON",0.2
"ID","EXPL",0.2
"ID","FIN",0.4
"ID","ID",0.2
"IHS","FIN",0.5
"IHS","IHS",0.5
"IMTH","ACCT",0.2
"IMTH","BMGT",0.2
"IMTH","IMTH",0.6
"INSS","FIN",0.333333333333333
"INSS","INSS",0.666666666666667
"ISCI","E",0.5
"ISCI","INSS",0.5
"MATH","MATH",1
"MCED","MCED",1
"MKTG","ACCT",0.0238095238095238
"MKTG","ADV",0.0238095238095238
"MKTG","ATTR",0.0238095238095238
"MKTG","E",0.0952380952380952
"MKTG","ECDE",0.0238095238095238
"MKTG","ELMD",0.0238095238095238
"MKTG","MKTG",0.761904761904762
"MKTG","PH",0.0238095238095238
"MMTG","E",0.0666666666666667
"MMTG","GEOL",0.0333333333333333
"MMTG","MMTG",0.9
"NEWS","E",0.142857142857143
"NEWS","NEWS",0.857142857142857
"NUTR","NUTR",1
"OPMG","OPMG",1
"PACT","ACCT",0.166666666666667
"PACT","E",0.166666666666667
"PACT","PACT",0.666666666666667
"PBMT","CHEM",0.1
"PBMT","E",0.2
"PBMT","PBMT",0.7
"PENT","E",1
"PFIN","PFIN",1
"PH","BMGT",0.125
"PH","EXPL",0.125
"PH","PH",0.75
"PHDF","E",1
"PHIL","PHIL",1
"PHY","BMGT",0.5
"PHY","PHY",0.5
"PMKT","PMKT",1
"PMMT","PMMT",1
"PNUR","BMGT",0.25
"PNUR","PNUR",0.75
"POL","POL",1
"PSPA","PH",1
"PSYC","PSYC",1
"SPAD","BMGT",0.2
"SPAD","SPAD",0.8
"SPED","SPED",1
"SPTR","SPTR",1
"THEA","THEA",1
"VCD","VCD",1
"ZOOL","ZOOL",1
