"F4SEQ2_MAJOR","S4SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.861111111111111
"ACCT","CIS",0.0138888888888889
"ACCT","E",0.0555555555555556
"ACCT","FIN",0.0277777777777778
"ACCT","MKTG",0.0416666666666667
"ACM","ACM",1
"ACTT","E",1
"ADV","ADV",0.5
"ADV","E",0.5
"AENG","AENG",1
"AMTH","AMTH",1
"ARCH","ARCH",1
"ARTS","ARTS",1
"ATTR","ATTR",1
"BMGT","BMGT",0.831325301204819
"BMGT","E",0.120481927710843
"BMGT","FIN",0.0240963855421687
"BMGT","MCED",0.0120481927710843
"BMGT","MKTG",0.0120481927710843
"BSCI","BSCI",1
"BUSU","BUSU",0.75
"BUSU","EHSG",0.25
"CHEM","CHEM",1
"CIS","CIS",0.875
"CIS","E",0.0625
"CIS","MKTG",0.0625
"COMM","COMM",1
"CRJU","CRJU",1
"CS","CS",1
"DMP","DMP",1
"DS","DS",1
"E","ACCT",0.0112994350282486
"E","BMGT",0.00564971751412429
"E","E",0.977401129943503
"E","GST",0.00564971751412429
"ECDE","ECDE",1
"ECON","E",0.0833333333333333
"ECON","ECON",0.916666666666667
"EHSG","EHSG",0.5
"EHSG","HDFS",0.5
"ENTR","E",0.0909090909090909
"ENTR","ENTR",0.863636363636364
"ENTR","IGST",0.0454545454545455
"EXPL","E",0.5
"EXPL","EXPL",0.5
"FIN","E",0.0892857142857143
"FIN","FIN",0.910714285714286
"FM","FM",1
"GEOG","GEOG",1
"HDFS","HDFS",1
"HSPM","HSPM",1
"IGST","IGST",1
"IHS","E",1
"MKTG","E",0.0212765957446808
"MKTG","MKTG",0.957446808510638
"MKTG","PADM",0.0212765957446808
"MMTG","MMTG",1
"NEWS","NEWS",1
"OPMG","OPMG",1
"PBMT","PBMT",1
"PFDM","E",0.5
"PFDM","PFDM",0.5
"PFIN","FIN",1
"PH","E",0.25
"PH","PH",0.75
"PHDF","HDFS",1
"PHIL","PHIL",1
"POL","POL",1
"PR","PR",1
"PSYC","PSYC",1
"RPTM","RPTM",1
"SPAD","SPAD",1
"SPED","SPED",1
"TECH","TECH",1
