"F3SEQ2_MAJOR","S3SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.85
"ACCT","FIN",0.05
"ACCT","UNDECLARED",0.1
"ACM","ACM",1
"ACTT","ACTT",1
"ADV","ADV",1
"AENG","AENG",1
"AMTH","AMTH",1
"ARCH","ARCH",1
"ARTS","ARTS",1
"ATTR","ATTR",0.333333333333333
"ATTR","BMGT",0.333333333333333
"ATTR","ENTR",0.333333333333333
"BMGT","BMGT",0.89010989010989
"BMGT","CHEM",0.010989010989011
"BMGT","COMM",0.010989010989011
"BMGT","ECON",0.010989010989011
"BMGT","ENTR",0.010989010989011
"BMGT","FIN",0.010989010989011
"BMGT","HSPM",0.010989010989011
"BMGT","UNDECLARED",0.043956043956044
"BSCI","BSCI",1
"BUSU","BUSU",1
"CIS","CIS",0.9375
"CIS","UNDECLARED",0.0625
"COMM","COMM",1
"CRJU","CRJU",0.666666666666667
"CRJU","FIN",0.333333333333333
"CS","CIS",0.333333333333333
"CS","CS",0.666666666666667
"DS","DS",1
"ECB","ECB",1
"ECDE","ECDE",1
"ECON","ECON",0.866666666666667
"ECON","FIN",0.0666666666666667
"ECON","UNDECLARED",0.0666666666666667
"EDST","EDST",1
"EHSG","EHSG",1
"ENTR","BMGT",0.0384615384615385
"ENTR","ENTR",0.923076923076923
"ENTR","UNDECLARED",0.0384615384615385
"EXPL","ACCT",0.2
"EXPL","BMGT",0.2
"EXPL","CIS",0.2
"EXPL","EXPL",0.4
"FIN","ACCT",0.0181818181818182
"FIN","BMGT",0.0181818181818182
"FIN","FIN",0.890909090909091
"FIN","FM",0.0181818181818182
"FIN","MKTG",0.0363636363636364
"FIN","UNDECLARED",0.0181818181818182
"FM","FM",0.5
"FM","UNDECLARED",0.5
"GEOG","GEOG",0.5
"GEOG","UNDECLARED",0.5
"HSPM","HSPM",1
"IHS","IHS",1
"IMTH","IMTH",1
"INTL","INTL",1
"MATH","FIN",1
"MKTG","MKTG",1
"MMTG","FIN",0.0294117647058824
"MMTG","MKTG",0.0294117647058824
"MMTG","MMTG",0.882352941176471
"MMTG","PR",0.0294117647058824
"MMTG","UNDECLARED",0.0294117647058824
"NEWS","NEWS",1
"NUTR","UNDECLARED",1
"OPMG","OPMG",1
"PBMT","PBMT",1
"PEP","PAS",1
"PFIN","FIN",0.333333333333333
"PFIN","PFIN",0.666666666666667
"PH","PH",1
"PHDF","HDFS",0.166666666666667
"PHDF","PHDF",0.833333333333333
"PHIL","PHIL",1
"POL","POL",1
"PR","PR",1
"PSYC","PSYC",1
"SPAD","SPAD",1
"SPED","SPED",1
"TECH","TECH",1
"UNDECLARED","ACCT",0.0136054421768707
"UNDECLARED","BMGT",0.0204081632653061
"UNDECLARED","BUSU",0.0136054421768707
"UNDECLARED","COMM",0.00680272108843537
"UNDECLARED","MKTG",0.00680272108843537
"UNDECLARED","PFIN",0.00680272108843537
"UNDECLARED","PNUR",0.00680272108843537
"UNDECLARED","UNDECLARED",0.925170068027211
"VCD","VCD",1
