"F5SEQ2_MAJOR","S5SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.527777777777778
"ACCT","E",0.388888888888889
"ACCT","ENTR",0.0277777777777778
"ACCT","FIN",0.0277777777777778
"ACCT","IGST",0.0277777777777778
"ACM","E",1
"AENG","AENG",1
"AMTH","AMTH",0.5
"AMTH","E",0.5
"ARCH","E",1
"ARTS","ARTS",1
"ATTR","ATTR",1
"BAD","BAD",1
"BMGT","BMGT",0.558139534883721
"BMGT","COMM",0.0232558139534884
"BMGT","E",0.395348837209302
"BMGT","SPAD",0.0232558139534884
"BSCI","BSCI",1
"CIS","CIS",0.571428571428572
"CIS","E",0.428571428571429
"COMM","COMM",0.6
"COMM","E",0.4
"CRJU","CRJU",1
"CS","CS",1
"DS","DS",0.333333333333333
"DS","E",0.666666666666667
"E","ACCT",0.00269541778975741
"E","BMGT",0.00539083557951482
"E","E",0.981132075471698
"E","EHSG",0.00269541778975741
"E","GEOG",0.00269541778975741
"E","MKTG",0.00539083557951482
"EAHE","EAHE",1
"ECON","E",0.2
"ECON","ECON",0.8
"EDST","EDST",1
"ENG","ENG",1
"ENTR","BMGT",0.0833333333333333
"ENTR","E",0.0833333333333333
"ENTR","ENTR",0.75
"ENTR","IGST",0.0833333333333333
"EXPL","EXPL",1
"FIN","BMGT",0.0416666666666667
"FIN","E",0.25
"FIN","FIN",0.708333333333333
"FM","FM",1
"GBUS","E",1
"HDFS","HDFS",1
"HSPM","E",0.5
"HSPM","HSPM",0.5
"HTM","HTM",1
"IGST","E",0.333333333333333
"IGST","IGST",0.666666666666667
"MCED","E",1
"MKTG","BMGT",0.0384615384615385
"MKTG","E",0.307692307692308
"MKTG","MKTG",0.653846153846154
"MMTG","COMM",0.142857142857143
"MMTG","E",0.142857142857143
"MMTG","MKTG",0.142857142857143
"MMTG","MMTG",0.571428571428571
"PADM","PADM",1
"PBMT","E",1
"PH","PH",1
"PNUR","NURS",0.5
"PNUR","PNUR",0.5
"POL","POL",1
"PR","PR",1
"PSYC","PSYC",1
"RPTM","RPTM",1
"SPAD","SPAD",0.833333333333333
"SPAD","SRCM",0.166666666666667
"TRNS","E",1
