"S5SEQ2_MAJOR","F6SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.1
"ACCT","E",0.85
"ACCT","FIN",0.05
"AENG","AENG",0.333333333333333
"AENG","E",0.333333333333333
"AENG","TECH",0.333333333333333
"AMTH","E",1
"ARTS","NONE",1
"ATTR","E",1
"BAD","BAD",1
"BMGT","BMGT",0.517241379310345
"BMGT","E",0.482758620689655
"BSCI","E",1
"CIS","CIS",0.25
"CIS","E",0.75
"COMM","BMGT",0.2
"COMM","COMM",0.2
"COMM","E",0.6
"CRJU","CRJU",1
"CS","CHEM",1
"DS","DS",1
"E","ACCT",0.00233100233100233
"E","BMGT",0.00233100233100233
"E","E",0.983682983682984
"E","ECON",0.00233100233100233
"E","FIN",0.00233100233100233
"E","GBUS",0.00233100233100233
"E","NONE",0.00466200466200466
"EAHE","EAHE",1
"ECON","E",1
"EDST","E",1
"EHSG","E",1
"ENG","ENG",1
"ENTR","E",0.8
"ENTR","ENTR",0.2
"EXPL","E",1
"FIN","BMGT",0.0555555555555556
"FIN","E",0.444444444444444
"FIN","FIN",0.444444444444444
"FIN","MKTG",0.0555555555555556
"FM","FM",1
"GEOG","E",1
"HDFS","E",1
"HSPM","E",1
"HTM","HTM",1
"IGST","E",0.75
"IGST","IGST",0.25
"MKTG","E",0.85
"MKTG","MKTG",0.15
"MMTG","E",1
"NURS","NURS",1
"PADM","PADM",1
"PH","E",0.5
"PH","PH",0.5
"PNUR","E",1
"POL","POL",1
"PR","PR",1
"PSYC","E",1
"RPTM","E",1
"SPAD","E",0.5
"SPAD","EDST",0.166666666666667
"SPAD","SPAD",0.333333333333333
"SRCM","SRCM",1
