semester,mean,std
F1SEQ2,15.735359,1.3381361
S1SEQ2,15.434592,2.2313416
F2SEQ2,15.004926,2.9358462
S2SEQ2,14.872469,3.1294094
F3SEQ2,14.888889,2.6549345
S3SEQ2,14.860427,2.6549345
F4SEQ2,11.785441,6.5256089
S4SEQ2,10.618227,6.7832668
F5SEQ2,4.5180624,6.7054959
S5SEQ2,2.8262178,5.6230395
F6SEQ2,0.8697318,3.2778944
S6SEQ2,0.5604817,2.5824554
