"S3SEQ2_MAJOR","F4SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.902777777777778
"ACCT","FIN",0.0416666666666667
"ACCT","MKTG",0.0138888888888889
"ACCT","UNDECLARED",0.0416666666666667
"ACM","ACM",1
"ACTT","ACTT",1
"ADV","ADV",1
"AENG","AENG",1
"AMTH","AMTH",1
"ARCH","ARCH",1
"ARTS","ARTS",1
"ATTR","ATTR",1
"BMGT","BMGT",0.875
"BMGT","CIS",0.0113636363636364
"BMGT","FIN",0.0113636363636364
"BMGT","MKTG",0.0113636363636364
"BMGT","UNDECLARED",0.0909090909090909
"BSCI","BSCI",0.5
"BSCI","SPAD",0.5
"BUSU","BUSU",0.666666666666667
"BUSU","FIN",0.333333333333333
"CHEM","CHEM",1
"CIS","BMGT",0.0555555555555556
"CIS","CIS",0.833333333333333
"CIS","UNDECLARED",0.111111111111111
"COMM","COMM",1
"CRJU","CRJU",0.5
"CRJU","DMP",0.5
"CS","CS",0.75
"CS","UNDECLARED",0.25
"DS","DS",1
"ECB","UNDECLARED",1
"ECDE","ECDE",1
"ECON","ECON",0.857142857142857
"ECON","MKTG",0.0714285714285714
"ECON","UNDECLARED",0.0714285714285714
"EDST","PSYC",1
"EHSG","EHSG",1
"ENTR","BMGT",0.0384615384615385
"ENTR","ENTR",0.807692307692308
"ENTR","UNDECLARED",0.153846153846154
"EXPL","EXPL",1
"FIN","FIN",0.864406779661017
"FIN","MKTG",0.0338983050847458
"FIN","RPTM",0.0169491525423729
"FIN","SPAD",0.0169491525423729
"FIN","UNDECLARED",0.0677966101694915
"FM","FM",0.5
"FM","HSPM",0.5
"GEOG","GEOG",1
"HDFS","HDFS",1
"HSPM","HSPM",1
"IHS","IHS",1
"IMTH","SPAD",1
"INTL","UNDECLARED",1
"MKTG","BMGT",0.0222222222222222
"MKTG","COMM",0.0222222222222222
"MKTG","FM",0.0222222222222222
"MKTG","MKTG",0.844444444444444
"MKTG","UNDECLARED",0.0888888888888889
"MMTG","ENTR",0.0333333333333333
"MMTG","MKTG",0.0333333333333333
"MMTG","MMTG",0.933333333333333
"NEWS","NEWS",1
"OPMG","OPMG",1
"PAS","IGST",1
"PBMT","PBMT",1
"PFIN","PFIN",0.333333333333333
"PFIN","UNDECLARED",0.666666666666667
"PH","BMGT",0.166666666666667
"PH","PH",0.666666666666667
"PH","UNDECLARED",0.166666666666667
"PHDF","EHSG",0.2
"PHDF","HDFS",0.6
"PHDF","PHDF",0.2
"PHIL","PHIL",1
"PNUR","BUSU",1
"POL","POL",1
"PR","COMM",0.5
"PR","PR",0.5
"PSYC","PSYC",1
"SPAD","MKTG",0.25
"SPAD","SPAD",0.75
"SPED","SPED",1
"TECH","TECH",1
"UNDECLARED","ACCT",0.0445859872611465
"UNDECLARED","BMGT",0.0127388535031847
"UNDECLARED","BUSU",0.00636942675159236
"UNDECLARED","PFDM",0.0127388535031847
"UNDECLARED","UNDECLARED",0.923566878980892
"VCD","MKTG",1
