"S4SEQ2_MAJOR","F5SEQ2_MAJOR","cProb"
"ACCT","ACCT",0.515625
"ACCT","E",0.46875
"ACCT","FIN",0.015625
"ACM","ACM",1
"ADV","E",1
"AENG","AENG",1
"AMTH","AMTH",1
"ARCH","ARCH",1
"ARTS","ARTS",1
"ATTR","ATTR",1
"BMGT","BAD",0.0142857142857143
"BMGT","BMGT",0.557142857142857
"BMGT","E",0.371428571428571
"BMGT","ECON",0.0142857142857143
"BMGT","FIN",0.0285714285714286
"BMGT","MKTG",0.0142857142857143
"BSCI","BSCI",1
"BUSU","E",0.666666666666667
"BUSU","ENTR",0.333333333333333
"CHEM","BMGT",1
"CIS","CIS",0.466666666666667
"CIS","DS",0.0666666666666667
"CIS","E",0.466666666666667
"COMM","COMM",0.5
"COMM","E",0.5
"CRJU","E",1
"CS","AMTH",0.333333333333333
"CS","CS",0.333333333333333
"CS","E",0.333333333333333
"DMP","E",1
"DS","DS",1
"E","ACCT",0.0147783251231527
"E","AENG",0.00492610837438424
"E","BMGT",0.00985221674876847
"E","CRJU",0.00492610837438424
"E","E",0.945812807881773
"E","ENG",0.00492610837438424
"E","ENTR",0.00492610837438424
"E","FIN",0.00492610837438424
"E","GBUS",0.00492610837438424
"ECDE","E",1
"ECON","E",0.545454545454545
"ECON","ECON",0.363636363636364
"ECON","IGST",0.0909090909090909
"EHSG","E",1
"ENTR","E",0.526315789473684
"ENTR","ENTR",0.473684210526316
"EXPL","EXPL",1
"FIN","CRJU",0.0178571428571429
"FIN","E",0.571428571428571
"FIN","FIN",0.357142857142857
"FIN","IGST",0.0178571428571429
"FIN","MKTG",0.0178571428571429
"FIN","SPAD",0.0178571428571429
"FM","FM",1
"GEOG","E",1
"GST","E",1
"HDFS","EDST",0.166666666666667
"HDFS","HDFS",0.833333333333333
"HSPM","E",0.2
"HSPM","HSPM",0.8
"IGST","E",0.5
"IGST","IGST",0.5
"MCED","MCED",1
"MKTG","E",0.52
"MKTG","HTM",0.02
"MKTG","MKTG",0.44
"MKTG","PNUR",0.02
"MMTG","E",0.607142857142857
"MMTG","ENTR",0.0357142857142857
"MMTG","MKTG",0.0714285714285714
"MMTG","MMTG",0.25
"MMTG","TRNS",0.0357142857142857
"NEWS","E",1
"OPMG","E",1
"PADM","PADM",1
"PBMT","PBMT",1
"PFDM","E",1
"PH","EAHE",0.333333333333333
"PH","PH",0.333333333333333
"PH","PNUR",0.333333333333333
"PHIL","E",1
"POL","E",0.5
"POL","POL",0.5
"PR","PR",1
"PSYC","PH",0.5
"PSYC","PSYC",0.5
"RPTM","RPTM",1
"SPAD","BMGT",0.166666666666667
"SPAD","SPAD",0.833333333333333
"SPED","E",1
"TECH","E",1
